Model;Fabricante;Codename;Series;precio;L2.Cache.MB.;TDP.Watt;MHz;Cores;Process.nm.;Architecture;Days.old;Graphics.Card;Cinebench.R10.32Bit.Single;SuperPI.1M.;TrueCrypt.AES
Intel Core i5-1030NG7;Intel;Ice Lake Y;Ice Lake;100;2;10;1100;4;10;x86;921;Iris Plus Graphics G7 (Ice Lake 64 EU);4250;11.4;3.1
Intel Core i3-8130U;Intel;Kaby Lake Refresh;Kaby Lake Refresh;55;1;15;2200;2;14;x86;1685;UHD Graphics 620;5447.5;11.09;2
Intel Core i3-8109U;Intel;Coffee Lake-U;Coffee Lake;127;0.5;28;3000;2;14;x86;1638;Iris Plus Graphics 655;NA;NA;NA
AMD FX-8350;AMD;Vishera;FX-Series (Desktop);130;8;125;4000;8;32;x86;3626;newitem;3201;21.6;3.6
Intel Core i7-9750H;Intel;Coffee Lake-H;Coffee Lake;338;NA;45;2600;6;14;x86;1246;UHD Graphics 630;6970;8.35;7.35
Intel Core i7-7560U;Intel;Kaby Lake;Kaby Lake;157;0.5;15;2400;2;14;x86;2093;Iris Plus Graphics 640;NA;NA;NA
AMD Ryzen 7 3780U;AMD;Zen+;Picasso (Ryzen 3000 APU);88;2;15;2300;4;12;x86;1360;Vega 11;NA;NA;NA
Intel Core i7-5775C;Intel;Broadwell;Core i7 (Desktop);92;1;65;3300;4;14;x86;2674;Iris Pro Graphics 6200;5844;10.31;4.4
AMD Ryzen 7 PRO 5750G;AMD;Cezanne;Cezanne (Zen 3, Ryzen 5000);580;4;65;3800;8;7;x86;483;Vega 8;6432;7.7;11.1
Intel Core i9-11950H;Intel;Tiger Lake H45;Tiger Lake;409;10;45;2600;8;10;x86;504;UHD Graphics Xe 32EUs (Tiger Lake-H);NA;NA;NA
Intel Core i7-11390H;Intel;Tiger Lake H35 Refresh;Tiger Lake;278;5;35;3400;4;10;x86;391;Iris Xe G7 96EUs;NA;6.7;6.7
Intel Core i7-8650U;Intel;Kaby Lake Refresh;Kaby Lake Refresh;118;1;15;1900;4;14;x86;1863;UHD Graphics 620;6629;8.84;4.3
Intel Core i5-10400H;Intel;Comet Lake-H;Comet Lake;126;1;45;2600;4;14;x86;908;UHD Graphics 630;7403;8.14;5.3
Intel Core i7-6700HQ;Intel;Skylake;Core i7;108;1;45;2600;4;14;x86;2583;HD Graphics 530;54199;10.95;3.88
AMD Ryzen 9 6900HX;AMD;Rembrandt H (Zen 3+);Rembrandt (Zen 3+);480;4;45;3300;8;6;x86;266;Radeon 680M;6467;NA;NA
Intel Core i7-6950X;Intel;Broadwell-E;Core i7 (Desktop);408;2.5;120;3000;10;14;x86;2392;newitem;6231;15;10.5
Intel Core i7-3960X;Intel;Sandy Bridge-E;Core i7 (Desktop);80;1.5;130;3300;6;32;x86;3970;newitem;5013.5;9.7;5.2
Intel Core i7-9700;Intel;Coffee Lake-R;Coffee Lake;391;2;65;3000;8;14;x86;1253;UHD Graphics 630;7473;8.31;7.6
Intel Core i3-10100;Intel;Comet Lake-S;Comet Lake;113;1;65;3600;4;14;x86;880;newitem;6863;8.93;5
Intel Core i7-1265U;Intel;Alder Lake-U;Alder Lake-M;293;9.5;15;1300;10;10;x86;266;Iris Xe G7 96EUs;NA;NA;NA
Intel Core i5-12600K;Intel;Alder Lake;Alder Lake-S;661;9.5;125;3700;10;10;x86;326;UHD Graphics 770;9381;7.41;12.8
Intel Core i5-11400T;Intel;Rocket Lake-S;Rocket Lake;81;3;35;1300;6;14;x86;560;UHD Graphics 730;6122;10.09;4.2
Intel Core i7-3632QM;Intel;Ivy Bridge;Core i7;127;1;35;2200;4;22;x86;3649;HD Graphics 4000;4293.5;11.86;2.9
Intel Core i7-4850HQ;Intel;Haswell;Core i7;99;1;47;2300;4;22;x86;3405;Iris Pro Graphics 5200;6640;NA;NA
Intel Core i7-8665U;Intel;Whiskey Lake-U;Core i7;128;1;15;1900;4;14;x86;1260;UHD Graphics 620;6872;8;2.6
AMD Ryzen 5 2600X;AMD;Zen+;Ryzen 5;177;4;95;3600;6;12;x86;1629;newitem;4958;11.35;8
AMD Ryzen 9 4900HS;AMD;Renoir (Zen 2);Renoir (Ryzen 4000 APU);395;4;35;3000;8;7;x86;934;Vega 8;5866;9.5;11.2
Intel Core i7-940;Intel;Bloomfield;Core i7 (Desktop);61;1;130;2930;4;45;x86;5170;newitem;3550;13.19;NA
Intel Core i9-11900H;Intel;Tiger Lake H45;Tiger Lake;502;10;45;2500;8;10;x86;504;UHD Graphics Xe 32EUs (Tiger Lake-H);NA;NA;NA
Intel Core i3-10320;Intel;Comet Lake-S;Comet Lake;119;1;65;3800;4;14;x86;860;UHD Graphics 630;7164;9.73;5.3
AMD Ryzen 9 5900HX;AMD;Cezanne H (Zen 3);Cezanne (Zen 3, Ryzen 5000);655;4;45;3300;8;7;x86;628;Vega 8;6321;8.63;9.1
Intel Core i5-6500;Intel;Skylake;Core i5 (Desktop);71;1;65;3200;4;14;x86;2610;HD Graphics 530;5746;10.4;2.9
Intel Core i5-11600K;Intel;Rocket Lake-S;Rocket Lake;376;3;125;3900;6;14;x86;546;UHD Graphics Xe 750 32EUs;9745;6.76;9.7
Intel Core i5-8300H;Intel;Coffee Lake-H;Coffee Lake;152;1;45;2300;4;14;x86;1669;UHD Graphics 630;6463.5;9.36;3.9
AMD Ryzen 5 1500X;AMD;Zen;Ryzen 5;112;2;65;3500;4;14;x86;1995;newitem;4573;10.95;4.9
AMD Ryzen 7 2700U;AMD;Zen;Raven Ridge (Ryzen 2000 APU);96;2;15;2200;4;14;x86;1721;Vega 10;4515;11.8;NA
Intel Core i7-7700HQ;Intel;Kaby Lake;Kaby Lake;111;1;45;2800;4;14;x86;2093;HD Graphics 630;59109;101;4.17
AMD Ryzen 5 6600U;AMD;Rembrandt U (Zen 3+);Rembrandt (Zen 3+);194;3;28;2900;6;6;x86;266;Radeon 660M;NA;NA;NA
Intel Core i9-12900HX;Intel;Alder Lake-HX;Alder Lake-S;799;14;55;1700;16;10;x86;140;UHD Graphics 770;9509;7.25;17.4
AMD Ryzen 9 5980HS;AMD;Cezanne H (Zen 3);Cezanne (Zen 3, Ryzen 5000);668;4;35;3300;8;7;x86;628;Vega 8;NA;NA;NA
Intel Core i5-7360U;Intel;Kaby Lake;Kaby Lake;86;0.5;15;2300;2;14;x86;2093;Iris Plus Graphics 640;5787;10;2.2
Intel Core i7-3720QM;Intel;Ivy Bridge;Core i7;106;1;45;2600;4;22;x86;3809;HD Graphics 4000;4821;10.24;3.3
Intel Xeon E3-1280 v5;Intel;Skylake;Xeon (Desktop);120;1;80;3700;4;14;x86;2610;newitem;NA;9;4.5
Intel Core i9-10910;Intel;Comet Lake-S;Comet Lake;605;2.5;125;3600;10;14;x86;860;UHD Graphics 630;8131;7.6;NA
Intel Core i7-1065G7;Intel;Ice Lake U;Ice Lake;123;2;15;1300;4;10;x86;1217;Iris Plus Graphics G7 (Ice Lake 64 EU);7270.5;11.68;5
Intel Celeron Dual-Core T3000;Intel;Penryn-1M;Celeron Dual-Core;31;1;35;1800;2;45;x86;4897;newitem;1797;31.75;NA
Intel Core i7-6920HQ;Intel;Skylake;Core i7;107;1;45;2900;4;14;x86;2583;HD Graphics 530;5906;10.17;4.2
AMD Ryzen 5 5600X;AMD;Vermeer (Zen3);Vermeer (Ryzen 5000);401;3;65;3700;6;7;x86;719;newitem;6462;8.08;10.7
Intel Core i5-7260U;Intel;Kaby Lake;Kaby Lake;68;0.5;15;2200;2;14;x86;2093;Iris Plus Graphics 640;NA;NA;NA
Intel Core i7-6567U;Intel;Skylake;Core i7;64;0.5;28;3300;2;14;x86;2583;Iris Graphics 550;5549;10.99;1.9
Intel Core i7-8550U;Intel;Kaby Lake Refresh;Kaby Lake Refresh;150;1;15;1800;4;14;x86;1863;UHD Graphics 620;64230;9.28;4.3
Intel Core i9-12900HK;Intel;Alder Lake-P;Alder Lake-P;600;12;45;1800;14;10;x86;266;Iris Xe G7 96EUs;9412;7.3;16.3
Intel Core i7-4720HQ;Intel;Haswell;Core i7;91;1;47;2600;4;22;x86;2826;HD Graphics 4600;51451;10.33;3.9
Intel Core i7-10710U;Intel;Comet Lake-U;Comet Lake;228;1;15;1100;6;14;x86;1122;UHD Graphics 620;6972;8.19;6.4
AMD Ryzen 5 2500U;AMD;Zen;Raven Ridge (Ryzen 2000 APU);89;2;15;2000;4;14;x86;1721;Vega 8;4410.5;12.29;3.3
AMD Ryzen 3 3100;AMD;Matisse (Zen 2);Matisse (Ryzen 3000 Desktop);102;2;65;3600;4;7;x86;873;newitem;5181;10.64;5.4
AMD Ryzen 5 7600X;AMD;Raphael (Zen4);Raphael (Zen 4, Ryzen 7000);613;6;105;4700;6;5;x86;1;newitem;8631;7.42;13.2
Intel Core i5-11320H;Intel;Tiger Lake H35 Refresh;Tiger Lake;106;5;35;3200;4;10;x86;391;Iris Xe G7 96EUs;8767;7.51;6.1
Intel Core i9-10980XE;Intel;Cascade Lake;Core i9 (Desktop);678;18;165;3000;18;14;x86;1091;newitem;7847;7.68;18.2
Intel Core i7-3920XM;Intel;Ivy Bridge;Core i7;114;1;55;2900;4;22;x86;3809;HD Graphics 4000;5078;9;3.55
Intel Core i5-10310U;Intel;Comet Lake-U;Comet Lake;95;1;15;1700;4;14;x86;867;UHD Graphics 620;NA;NA;NA
Intel Core i9-10850K;Intel;Comet Lake-S;Comet Lake;560;2.5;125;3600;10;14;x86;761;UHD Graphics 630;6829;7.59;14.5
Intel Core i5-2500K;Intel;Sandy Bridge;Core i5 (Desktop);137;1;95;3300;4;32;x86;4285;HD Graphics 3000;4773;10.8;NA
Intel Core i9-10885H;Intel;Comet Lake-H;Comet Lake;417;2;45;2400;8;14;x86;908;UHD Graphics 630;NA;7.33;9.9
AMD Ryzen 3 2300U;AMD;Zen;Raven Ridge (Ryzen 2000 APU);76;2;15;2000;4;14;x86;1724;Vega 6;NA;NA;NA
Intel Core i7-4770HQ;Intel;Haswell;Core i7;92;1;47;2200;4;22;x86;2990;Iris Pro Graphics 5200;NA;NA;NA
Intel Core i5-6600K;Intel;Skylake;Core i5 (Desktop);153;1;91;3500;4;14;x86;2610;HD Graphics 530;6188;9.5;3.2
Intel Core i5-3470;Intel;Ivy Bridge;Core i5 (Desktop);157;1;77;3200;4;22;x86;3824;HD Graphics 2500;5006;NA;NA
Intel Core i7-1280P;Intel;Alder Lake-P;Alder Lake-P;360;12;28;1300;14;10;x86;266;Iris Xe G7 96EUs;8881;7;11.8
Intel Core i7-2860QM;Intel;Sandy Bridge;Core i7;113;1;45;2500;4;32;x86;4285;HD Graphics 3000;4576;10.29;2.7
AMD Ryzen 5 6600H;AMD;Rembrandt H (Zen 3+);Rembrandt (Zen 3+);409;3;45;3300;6;6;x86;266;Radeon 660M;NA;NA;NA
Intel Core i7-11370H;Intel;Tiger Lake H35;Tiger Lake;340;5;35;3300;4;10;x86;624;Iris Xe G7 96EUs;NA;NA;NA
AMD Ryzen 7 5800X;AMD;Vermeer (Zen3);Vermeer (Ryzen 5000);409;4;105;3800;8;7;x86;719;newitem;6835;7.3;15
Intel Core i5-1130G7;Intel;Tiger Lake UP4;Tiger Lake;85;5;15;1800;4;10;x86;755;Iris Xe G7 80EUs;7813;8.58;2.6
Intel Core i7-10510U;Intel;Comet Lake-U;Comet Lake;97;1;15;1800;4;14;x86;1122;UHD Graphics 620;7268;NA;NA
AMD Ryzen Threadripper 2950X;AMD;ZEN+;Threadripper;478;8;180;3500;16;12;x86;1506;newitem;NA;10.32;19.5
AMD Ryzen 7 1700;AMD;Zen;Ryzen 7;240;4;65;3000;8;14;x86;2035;newitem;4419;11.75;7.2
Intel Xeon E3-1535M v6;Intel;Kaby Lake;Kaby Lake;147;1;45;3100;4;14;x86;2093;HD Graphics P630;6426;8.92;4.7
Intel Core i7-3840QM;Intel;Ivy Bridge;Core i7;126;1;45;2800;4;22;x86;3649;HD Graphics 4000;5144.5;9.35;3.6
Intel Core i7-3615QM;Intel;Ivy Bridge;Core i7;91;1;45;2300;4;22;x86;3809;HD Graphics 4000;4436;11.1;3
Intel Core i5-3550;Intel;Ivy Bridge;Core i5 (Desktop);127;1;77;3300;4;22;x86;3809;HD Graphics 2500;5191;9.99;2.7
Intel Core i7-5700HQ;Intel;Broadwell;Core i7;135;1;47;2700;4;14;x86;2674;HD Graphics 5600;NA;10.95;4.2
Intel Core i7-11850H;Intel;Tiger Lake H45;Tiger Lake;359;10;45;2500;8;10;x86;504;UHD Graphics Xe 32EUs (Tiger Lake-H);NA;NA;NA
Intel Core i7-10700;Intel;Comet Lake-S;Comet Lake;393;2;65;2900;8;14;x86;847;UHD Graphics 630;7611;8.08;10.3
AMD Ryzen 5 5500U;AMD;Lucienne U (Zen 2);Lucienne (Zen 2, Ryzen 5000);147;3;25;2100;6;7;x86;628;Vega 7;5313;10.46;4.3
AMD Ryzen 9 7900X;AMD;Raphael (Zen4);Raphael (Zen 4, Ryzen 7000);669;12;170;4700;12;5;x86;1;newitem;8829;6.14;14.8
Intel Core i5-9300H;Intel;Coffee Lake-H;Coffee Lake;129;1;45;2400;4;14;x86;1246;UHD Graphics 630;6572;9.1;4.7
AMD Ryzen 7 4800H;AMD;Renoir (Zen 2);Renoir (Ryzen 4000 APU);416;4;45;2900;8;7;x86;994;Vega 7;5684;9.81;10.3
Intel Core i7-6820HQ;Intel;Skylake;Core i7;72;1;45;2700;4;14;x86;2583;HD Graphics 530;5429;10.5;3.9
Intel Core i7-1255U;Intel;Alder Lake-U;Alder Lake-M;162;9.5;15;1200;10;10;x86;266;Iris Xe G7 96EUs;NA;NA;NA
Intel Core i7-7500U;Intel;Kaby Lake;Kaby Lake;63;0.5;15;2700;2;14;x86;2219;HD Graphics 620;56474;10.8;2.1
Intel Core i7-8700;Intel;Coffee Lake-S;Coffee Lake;359;1.5;65;3200;6;14;x86;2091;UHD Graphics 630;7171;8.36;7.7
Intel Core i7-4980HQ;Intel;Haswell;Core i7;116;1;47;2800;4;22;x86;2990;HD Graphics 4600;5737;9.27;4.5
AMD Ryzen 7 PRO 5850U;AMD;Cezanne U (Zen 3);Cezanne (Zen 3, Ryzen 5000);367;4;25;1900;8;7;x86;628;Vega 8;5817;10;4.2
AMD Ryzen 7 6800U;AMD;Rembrandt U (Zen 3+);Rembrandt (Zen 3+);372;4;28;2700;8;6;x86;266;Radeon 680M;NA;NA;NA
Intel Core i5-10500H;Intel;Comet Lake-H;Comet Lake;350;0.135;45;2500;6;14;x86;908;UHD Graphics 630;7109;8.59;4.1
Intel Core i7-12650H;Intel;Alder Lake-P;Alder Lake-P;373;9.5;45;1700;10;10;x86;266;UHD Graphics 64EUs;8903;7.83;11.8
Intel Core i3-1005G1;Intel;Ice Lake U;Ice Lake;96;1;15;1200;2;10;x86;1217;UHD Graphics G1 (Ice Lake 32 EU);6573;10.02;2.4
Intel Core i7-3612QM;Intel;Ivy Bridge;Core i7;70;1;35;2100;4;22;x86;3809;HD Graphics 4000;4112.5;12.26;2.7
AMD Ryzen 9 3900X;AMD;Matisse (Zen 2);Matisse (Ryzen 3000 Desktop);514;6;105;3800;12;7;x86;1178;newitem;6018.5;9.14;10.75
AMD Ryzen 7 1700X;AMD;Zen;Ryzen 7;278;4;95;3400;8;14;x86;2035;newitem;4662;10.83;8.95
Intel Core i5-4430;Intel;Haswell;Core i5 (Desktop);81;1;84;3000;4;22;x86;3405;HD Graphics 4600;NA;NA;NA
Intel Core i7-6770HQ;Intel;Skylake;Core i7;70;1;45;2600;4;14;x86;2438;Iris Pro Graphics 580;5536;10.64;3.9
AMD Ryzen 7 2700;AMD;Zen+;Ryzen 7;399;4;65;3200;8;12;x86;1629;newitem;4505;11.08;9
AMD Ryzen 5 2400G;AMD;Zen;Raven Ridge (Ryzen 2000 APU);146;2;65;3600;4;14;x86;1721;Vega 11;4805;11.27;5.2
Intel Core i9-11900KB;Intel;Tiger Lake-H;Tiger Lake;512;10;65;3300;8;10;x86;470;UHD Graphics Xe 32EUs (Tiger Lake-H);9538;6.66;11.6
AMD Ryzen 9 5900X;AMD;Vermeer (Zen3);Vermeer (Ryzen 5000);599;6;105;3700;12;7;x86;719;newitem;6828;7.19;21.2
Intel Core i7-4712HQ;Intel;Haswell;Core i7;98;1;37;2300;4;22;x86;3088;HD Graphics 4600;4445;NA;3.4
Intel Core i5-10400F;Intel;Comet Lake-S;Comet Lake;417;1.5;65;2900;6;14;x86;860;newitem;6719;8.74;NA
Intel Core i5-7300U;Intel;Kaby Lake;Kaby Lake;65;0.5;15;2600;2;14;x86;2093;HD Graphics 620;5529;12.02;2.1
AMD Ryzen 3 1200;AMD;Zen;Ryzen 3;77;2;65;3100;4;14;x86;1887;newitem;4178;12.39;2.6
Intel Core i5-10210U;Intel;Comet Lake-U;Comet Lake;115;1;15;1600;4;14;x86;1122;UHD Graphics 620;6412;8.96;4.65
Intel Core i7-2600K;Intel;Sandy Bridge;Core i7 (Desktop);74;1;95;3400;4;32;x86;4285;HD Graphics 3000;4809;10.2;3.3
AMD Ryzen 3 5300U;AMD;Lucienne U (Zen 2);Lucienne (Zen 2, Ryzen 5000);70;2;25;2600;4;7;x86;628;Vega 6;NA;NA;NA
Intel Core i5-8400;Intel;Coffee Lake-S;Coffee Lake;210;1.5;65;2800;6;14;x86;2091;UHD Graphics 630;6363.5;9.5;5
Intel Core i7-2760QM;Intel;Sandy Bridge;Core i7;130;1;45;2400;4;32;x86;4042;HD Graphics 3000;4474;11;3
Intel Core i5-11400H;Intel;Tiger Lake H45;Tiger Lake;274;7.5;45;2700;6;10;x86;504;UHD Graphics Xe 16EUs (Tiger Lake-H);8611;7.5;7.9
Intel Core i5-4202Y;Intel;Haswell;Core i5;38;0.5;11.5;1600;2;22;x86;3313;HD Graphics 4200;2920;19.12;1
Intel Xeon E5-2680;Intel;Sandy Bridge-EP;Xeon (Desktop);114;2;130;2700;8;32;x86;3857;newitem;4118;12;0.34
Intel Core i9-12900H;Intel;Alder Lake-P;Alder Lake-P;642;12;45;1800;14;10;x86;266;Iris Xe G7 96EUs;9498;7.3;9.7
AMD Ryzen 5 5600G;AMD;Cezanne;Cezanne (Zen 3, Ryzen 5000);401;3;65;3900;6;7;x86;532;Vega 7;6052;8.08;9.7
AMD Ryzen 5 6600HS;AMD;Rembrandt H (Zen 3+);Rembrandt (Zen 3+);412;3;35;3300;6;6;x86;266;Radeon 660M;6157;8;7.7
Intel Core i7-3770K;Intel;Ivy Bridge;Core i7 (Desktop);77;1;77;3500;4;22;x86;3824;HD Graphics 4000;5536;9.38;3.9
Intel Core i3-10110U;Intel;Comet Lake-U;Comet Lake;155;1;15;2100;2;14;x86;1122;UHD Graphics 620;6349;9.43;2.05
Intel Core i3-1110G4;Intel;Tiger Lake UP4;Tiger Lake;137;2.5;15;2500;2;10;x86;755;UHD Graphics Xe G4 48EUs;6972;9.39;2.4
Apple M2;Apple;;Apple M-Series;406;20;20;2424;8;5;ARM;109;M2 10-Core GPU;NA;NA;NA
Intel Core i5-7Y57;Intel;Kaby Lake;Kaby Lake;62;0.5;4.5;1200;2;14;x86;2094;HD Graphics 615;5132;11.58;1.8
Intel Core i7-4790S;Intel;Haswell;Core i7 (Desktop);101;1;65;3200;4;22;x86;3071;HD Graphics 4600;5566;NA;NA
Intel Xeon E3-1505M v6;Intel;Kaby Lake;Kaby Lake;116;1;45;3000;4;14;x86;2093;HD Graphics P630;6332;9.5;4.4
Apple M1 Pro 8-Core;Apple;;Apple M-Series;464;28;37;NA;8;5;ARM;344;M1 Pro 14-Core GPU;NA;NA;NA
Qualcomm Snapdragon 8cx;Qualcomm;Cortex-A76 / A55 (Kryo 495);Snapdragon;130;NA;7;2840;8;7;ARM;1391;Adreno 680;591;10.9;NA
AMD Ryzen 3 1300X;AMD;Zen;Ryzen 3;142;2;65;3500;4;14;x86;1887;newitem;4676;10.97;3
AMD Ryzen Embedded V1605B;AMD;Zen;Raven Ridge (Ryzen 2000 APU);151;2;15;2000;4;14;x86;1679;Vega 8;NA;NA;NA
AMD Ryzen 7 5800X3D;AMD;Vermeer (Zen3);Vermeer (Ryzen 5000);671;4;105;3400;8;7;x86;147;newitem;6008;8.11;13.8
